Species,ID,Temperature,Performance
Acarus farris,1,7,0.01
Acarus farris,1,10,0.05
Acarus farris,1,15,0.13
Acarus farris,1,20,0.2
Acarus farris,1,25,0.25
Acarus farris,1,29,0.1
Aphelinus semiflavus,2,10,0
Aphelinus semiflavus,2,15.6,0.09
Aphelinus semiflavus,2,18.3,0.24
Aphelinus semiflavus,2,21.1,0.34
Aphelinus semiflavus,2,23.9,0.2
Aphelinus semiflavus,2,26.7,0
Aphis gossypii,3,10,0.06
Aphis gossypii,3,15,0.15
Aphis gossypii,3,20,0.28
Aphis gossypii,3,25,0.37
Aphis gossypii,3,30,0.31
Aphis gossypii,3,35,0.32
Aphis gossypii,4,15,0.21
Aphis gossypii,4,17.5,0.29
Aphis gossypii,4,20,0.36
Aphis gossypii,4,22.5,0.42
Aphis gossypii,4,25,0.53
Aphis gossypii,4,27.5,0.44
Aphis gossypii,4,30,0.43
Aphis gossypii,4,32.5,0.13
Aphis gossypii,5,10,0.06
Aphis gossypii,5,15,0.18
Aphis gossypii,5,20,0.32
Aphis gossypii,5,25,0.42
Aphis gossypii,5,30,0.36
Busseola fusca,6,18,0.09
Busseola fusca,6,20,0.15
Busseola fusca,6,24,0.19
Busseola fusca,6,27,0.28
Busseola fusca,6,30,0.25
Busseola fusca,6,32,0.17
Busseola fusca,7,18,0.09
Busseola fusca,7,20,0.15
Busseola fusca,7,24,0.2
Busseola fusca,7,27,0.28
Busseola fusca,7,30,0.29
Busseola fusca,7,32,0.27
Cactoblastis castorum,8,18,0.01
Cactoblastis castorum,8,22,0.03
Cactoblastis castorum,8,26,0.05
Cactoblastis castorum,8,30,0.06
Cactoblastis castorum,8,34,0.03
Calandra oryzae,9,13,0
Calandra oryzae,9,15.2,0
Calandra oryzae,9,18.2,0.02
Calandra oryzae,9,23,0.06
Calandra oryzae,9,25.5,0.09
Calandra oryzae,9,29.1,0.11
Calandra oryzae,9,32.3,0.07
Calandra oryzae,9,33.5,0.02
Calandra oryzae,9,35,0
Cotesia plutellae,10,15,0.07
Cotesia plutellae,10,20,0.16
Cotesia plutellae,10,25,0.27
Cotesia plutellae,10,30,0.29
Cotesia plutellae,10,32.5,0.25
