isolate.code,genus,species,name,group,environment,temperature,r,bv
2,Chlamydomonas,,Chlamydomonas ,Greens,marine,4,0.23,2.191245447
2,Chlamydomonas,,Chlamydomonas ,Greens,marine,6,0.39,2.191245447
2,Chlamydomonas,,Chlamydomonas ,Greens,marine,9,0.4,2.191245447
2,Chlamydomonas,,Chlamydomonas ,Greens,marine,14,0.26,2.191245447
2,Chlamydomonas,,Chlamydomonas ,Greens,marine,20,0.19,2.191245447
2,Chlamydomonas,,Chlamydomonas ,Greens,marine,30,0.05,2.191245447
4,Navicula,,Navicula ,Diatoms,marine,4,0.34,2.753261
4,Navicula,,Navicula ,Diatoms,marine,6,0.26,2.753261
4,Navicula,,Navicula ,Diatoms,marine,9,0.23,2.753261
4,Navicula,,Navicula ,Diatoms,marine,14,0.27,2.753261
4,Navicula,,Navicula ,Diatoms,marine,20,0.25,2.753261
4,Navicula,,Navicula ,Diatoms,marine,30,0.17,2.753261
6,Chaetoceros,,Chaetoceros ,Diatoms,marine,1,0.308,2.187126
6,Chaetoceros,,Chaetoceros ,Diatoms,marine,1,0.308,2.187126
6,Chaetoceros,,Chaetoceros ,Diatoms,marine,3,0.406,2.187126
6,Chaetoceros,,Chaetoceros ,Diatoms,marine,3,0.406,2.187126
6,Chaetoceros,,Chaetoceros ,Diatoms,marine,5,0.462,2.187126
6,Chaetoceros,,Chaetoceros ,Diatoms,marine,5,0.462,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,2,0.39,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,2,0.39,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,2,0.39,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,2,0.39,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,3,0.284190344,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,5,0.436682724,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,5,0.546,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,5,0.591,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,5,0.828,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,5,0.876,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,7,0.450545667,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,7,0.549,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,7,0.691,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,7,0.806,2.187126
7,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,7,0.829,2.187126
