Reference,Group,Genus,Species,ID,Habitat,Volume,Temperature,Growth
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,8,0.14
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,8,0.13
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,8,0.19
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,11.4,0.36
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,11.4,0.4
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,11.4,0.43
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,11.4,0.48
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,11.4,0.53
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,16.3,0.45
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,16.3,0.51
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,16.3,0.57
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,16.4,0.62
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,16.3,0.71
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,16.3,0.74
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,16.3,0.76
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,16.3,0.78
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,18.8,0.84
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,18.8,0.78
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,16.4,0.79
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,18.7,0.54
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,18.6,0.48
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,18.7,0.47
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,18.7,0.44
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,18.7,0.43
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,18.7,0.41
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,20.8,0.54
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,20.8,0.67
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,20.9,0.74
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,20.8,0.87
Aelion and Chisolmn 1985,Ciliates,Favella,Favella sp.,A,Marine,593405,20.8,0.88
Fenchel 1968,Ciliates,Uronema,Uronema marina,Z,Marine,461,0,0.15
Fenchel 1968,Ciliates,Uronema,Uronema marina,Z,Marine,461,4,0.56
Fenchel 1968,Ciliates,Uronema,Uronema marina,Z,Marine,461,9,1.9
Fenchel 1968,Ciliates,Uronema,Uronema marina,Z,Marine,461,12,1.9
Fenchel 1968,Ciliates,Uronema,Uronema marina,Z,Marine,461,17,4.5
Fenchel 1968,Ciliates,Uronema,Uronema marina,Z,Marine,461,20,6.8
Fenchel 1968,Ciliates,Aspidisca,Aspidisca angulata,AA,Marine,3961,4,0.42
Fenchel 1968,Ciliates,Aspidisca,Aspidisca angulata,AA,Marine,3961,7.6,0.75
Fenchel 1968,Ciliates,Aspidisca,Aspidisca angulata,AA,Marine,3961,9.3,0.91
Fenchel 1968,Ciliates,Aspidisca,Aspidisca angulata,AA,Marine,3961,12,1.3
Fenchel 1968,Ciliates,Aspidisca,Aspidisca angulata,AA,Marine,3961,17.2,2
Fenchel 1968,Ciliates,Aspidisca,Aspidisca angulata,AA,Marine,3961,20,3.7
Fenchel 1968,Ciliates,Litonotus,Litonotus lamella,AB,Marine,5620,5,0.3
Fenchel 1968,Ciliates,Litonotus,Litonotus lamella,AB,Marine,5620,10,0.6
Fenchel 1968,Ciliates,Litonotus,Litonotus lamella,AB,Marine,5620,23,1.7
Fenchel 1968,Ciliates,Diophrys,Diophrys scutum,AC,Marine,525270,15,0.61
Fenchel 1968,Ciliates,Diophrys,Diophrys scutum,AC,Marine,525270,20,0.74
Fenchel 1968,Ciliates,Diophrys,Diophrys scutum,AC,Marine,525270,27,1.6
Finlay 1977,Ciliates,Vorticella,Vorticella microstoma,AD,Freshwater,25882,8.5,0.29
Finlay 1977,Ciliates,Vorticella,Vorticella microstoma,AD,Freshwater,17223,15,1.45
Finlay 1977,Ciliates,Vorticella,Vorticella microstoma,AD,Freshwater,21531,20,2.61
Finlay 1977,Ciliates,Cyclidium,Cyclidium glaucoma,AE,Freshwater,2961,8.5,0.22
