References,ID,Phylum,Class,Order,Family,Genus,Species,Habitat,Temp,Volume,Growth,Lat,Lon
Baars (1981),1,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus octonarius,Marine,6,417098,0,51.395,3.556944
Baars (1981),1,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus octonarius,Marine,12,374000,0.26,51.395,3.556944
Baars (1981),1,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus octonarius,Marine,20,179000,0.55,51.395,3.556944
Baars (1981),1,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus octonarius,Marine,26,307000,0.41,51.395,3.556944
Baars (1981),1,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus octonarius,Marine,30,189000,0.79,51.395,3.556944
Baars (1981),2,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,Marine,0,444681,0,51.395,3.556944
Baars (1981),2,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,Marine,6,372000,0.14,51.395,3.556944
Baars (1981),2,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,Marine,12,338000,0.35,51.395,3.556944
Baars (1981),2,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,Marine,16,370000,0.38,51.395,3.556944
Baars (1981),2,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,Marine,20,1130000,0.57,51.395,3.556944
Baars (1981),2,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,Marine,30,1090000,0.73,51.395,3.556944
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,10,132000,0,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,10,132000,0,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,10,132000,0,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,15,132000,0.14,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,15,132000,0.16,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,15,132000,0.16,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,20,132000,0.25,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,20,132000,0.25,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,20,132000,0.26,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,24,132000,0.24,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,24,132000,0.25,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,24,132000,0.26,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,27,132000,0.21,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,27,132000,0.26,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,27,132000,0.3,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,30,132000,0,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,30,132000,0,32.87,-117.26
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,30,132000,0,32.87,-117.26
Boyd et al. (2013),4,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain BWA,Marine,15,132000,0.24,48.27,-124.68
Boyd et al. (2013),4,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain BWA,Marine,20,132000,0.35,48.27,-124.68
Boyd et al. (2013),4,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain BWA,Marine,25,132000,0.36,48.27,-124.68
Boyd et al. (2013),4,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain BWA,Marine,30,132000,0.23,48.27,-124.68
Boyd et al. (2013),4,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain BWA,Marine,33,132000,0.02,48.27,-124.68
Boyd et al. (2013),4,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain BWA,Marine,35,132000,0,48.27,-124.68
Boyd et al. (2013),5,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain GBB,Marine,15,132000,0.28,47.9,-124.63
Boyd et al. (2013),5,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain GBB,Marine,20,132000,0.33,47.9,-124.63
Boyd et al. (2013),5,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain GBB,Marine,25,132000,0.42,47.9,-124.63
Boyd et al. (2013),5,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain GBB,Marine,30,132000,0.32,47.9,-124.63
Boyd et al. (2013),5,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain GBB,Marine,33,132000,0.19,47.9,-124.63
Boyd et al. (2013),5,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain GBB,Marine,35,132000,0,47.9,-124.63
Boyd et al. (2013),6,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain RMB,Marine,15,132000,0.2,36.96,-122.01
Boyd et al. (2013),6,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain RMB,Marine,20,132000,0.33,36.96,-122.01
Boyd et al. (2013),6,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain RMB,Marine,25,132000,0.35,36.96,-122.01
Boyd et al. (2013),6,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain RMB,Marine,30,132000,0.24,36.96,-122.01
Boyd et al. (2013),6,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain RMB,Marine,33,132000,0.08,36.96,-122.01
Boyd et al. (2013),6,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain RMB,Marine,35,132000,0,36.96,-122.01
Boyd et al. (2013),7,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain YRB,Marine,15,132000,0.28,33.84,-118.39
Boyd et al. (2013),7,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain YRB,Marine,20,132000,0.31,33.84,-118.39
Boyd et al. (2013),7,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain YRB,Marine,25,132000,0.37,33.84,-118.39
